id,source,title,label_aktual_str,jenis_kesalahan_cat,kategori,cat_pred,cat_prob_AI,xgb_pred,xgb_prob_AI,rf_pred,rf_prob_AI,cuplikan_teks,text
100,Liputan6,Fahri Hamzah Duga PKS Penyebab Anies Tak Kunjung Pilih Wagub DKI,AI,FN (AI dikira manusia),sulit (semua model salah),0,0.0791,0,0.2861,0,0.2862,Fahri Hamzah menduga PKS menjadi penyebab Anies belum juga menentukan pilihan Wakil Gubernur DKI. Dugaan tersebut disampaikan terkait proses penentuan calon Wag,"Fahri Hamzah menduga PKS menjadi penyebab Anies belum juga menentukan pilihan Wakil Gubernur DKI. Dugaan tersebut disampaikan terkait proses penentuan calon Wagub DKI yang berlangsung cukup lama. Menurut Fahri Hamzah, proses penentuan Wagub DKI menjadi perhatian karena belum juga menemui kejelasan. Ia menduga terdapat faktor yang menghambat proses tersebut. ""Saya menduga PKS menjadi penyebab Anies belum menentukan Wagub DKI. Ini merupakan dugaan saya,"" ujar Fahri Hamzah dalam keterangannya. Ia menjelaskan bahwa proses penentuan Wagub DKI seharusnya dapat berjalan lebih cepat. Menurutnya, penentuan tersebut perlu segera diselesaikan. Fahri Hamzah menekankan bahwa persoalan tersebut menjadi perhatian publik. Menurutnya, kejelasan mengenai Wagub DKI dinantikan banyak pihak. Ia menyatakan bahwa dugaannya disampaikan berdasarkan penilaiannya terhadap situasi. Menurutnya, hal tersebut menjadi bagian dari perhatiannya terhadap proses tersebut. Fahri Hamzah menjelaskan bahwa penentuan Wagub DKI menjadi hal yang penting. Menurutnya, posisi tersebut perlu segera diisi. Ia berharap proses penentuan Wagub DKI dapat segera menemui kejelasan. Menurutnya, penyelesaian yang cepat akan mendukung jalannya pemerintahan. Fahri Hamzah menekankan pentingnya penyelesaian proses tersebut. Menurutnya, hal tersebut menjadi perhatian yang perlu disikapi. Ia menyatakan akan terus mengikuti perkembangan proses penentuan Wagub DKI. Menurutnya, kejelasan mengenai hal tersebut dinantikan masyarakat."
165,Kompas,TNI AU Latihan Penurunan Paksa Pesawat Asing di Pekanbaru,AI,FN (AI dikira manusia),sulit (semua model salah),0,0.2616,0,0.1227,0,0.3833,TNI Angkatan Udara (AU) menggelar latihan penurunan paksa terhadap pesawat asing di Pekanbaru. Latihan tersebut menjadi bagian dari upaya menjaga wilayah udara.,"TNI Angkatan Udara (AU) menggelar latihan penurunan paksa terhadap pesawat asing di Pekanbaru. Latihan tersebut menjadi bagian dari upaya menjaga wilayah udara. Menurut pihak TNI AU, latihan tersebut ditujukan untuk meningkatkan kesiapan. Mereka menyatakan bahwa latihan menjadi bagian dari upaya menjaga kedaulatan udara. ""Kami menggelar latihan penurunan paksa pesawat asing. Ini untuk meningkatkan kesiapan,"" ujar perwakilan TNI AU dalam keterangannya. Mereka menjelaskan bahwa latihan tersebut dilakukan untuk menguji kesiapan personel. Menurut mereka, hal tersebut penting untuk menjaga wilayah udara. TNI AU menekankan bahwa menjaga kedaulatan udara menjadi tugas penting. Menurut mereka, latihan tersebut mendukung kesiapan dalam menjaga wilayah. Mereka menyatakan bahwa latihan dilakukan sesuai dengan prosedur. Menurut TNI AU, hal tersebut penting untuk memastikan kesiapan. TNI AU menjelaskan bahwa latihan tersebut melibatkan sejumlah personel dan alutsista. Menurut mereka, hal tersebut penting untuk menguji kesiapan. Mereka menekankan pentingnya kesiapan dalam menghadapi berbagai situasi. Menurut TNI AU, latihan mendukung kesiapan tersebut. TNI AU menyatakan bahwa mereka akan terus meningkatkan kesiapan. Menurut mereka, hal tersebut penting untuk menjaga kedaulatan udara. Mereka berharap latihan tersebut dapat meningkatkan kemampuan personel. Menurut TNI AU, hal tersebut mendukung tugas menjaga wilayah udara. TNI AU menegaskan komitmen untuk menjaga kedaulatan wilayah udara. Menurut mereka, latihan menjadi bagian dari upaya tersebut."
96,Detik,"Jelang Natal, 85 Ribu Kendaraan Diprediksi Melintasi Tol Cikarut",AI,FN (AI dikira manusia),sulit (semua model salah),0,0.4033,0,0.3845,0,0.3983,"Menjelang Natal, sebanyak 85 ribu kendaraan diprediksi melintasi Tol Cikampek Utama (Cikarut). Prediksi tersebut disampaikan sebagai bagian dari antisipasi lonj","Menjelang Natal, sebanyak 85 ribu kendaraan diprediksi melintasi Tol Cikampek Utama (Cikarut). Prediksi tersebut disampaikan sebagai bagian dari antisipasi lonjakan arus kendaraan. Menurut pihak terkait, jumlah kendaraan diperkirakan meningkat menjelang libur Natal. Mereka menyiapkan sejumlah langkah untuk mengantisipasi lonjakan tersebut. ""Menjelang Natal, kami memprediksi 85 ribu kendaraan akan melintasi Tol Cikarut. Kami siapkan antisipasinya,"" ujar perwakilan pihak terkait dalam keterangannya. Mereka menjelaskan bahwa lonjakan arus kendaraan biasa terjadi saat libur panjang. Menurut mereka, antisipasi diperlukan untuk menjaga kelancaran arus. Pihak terkait menekankan pentingnya kesiapan menghadapi lonjakan kendaraan. Menurut mereka, berbagai persiapan telah dilakukan menjelang masa libur. Mereka menyatakan bahwa petugas akan disiagakan di sejumlah titik. Menurut pihak terkait, hal tersebut dilakukan untuk mendukung kelancaran arus. Pihak terkait mengimbau pengendara untuk merencanakan perjalanan dengan baik. Menurut mereka, persiapan yang matang akan membantu kelancaran perjalanan. Mereka juga mengimbau pengendara untuk tetap berhati-hati saat melintas. Menurut pihak terkait, keselamatan berkendara menjadi hal yang diutamakan. Pihak terkait berharap arus kendaraan dapat berjalan lancar selama libur Natal. Menurut mereka, kelancaran arus menjadi hal yang diupayakan."
581,Liputan6,Menaker Dorong Generasi Muda Jadi Sociopreneur,manusia,FP (manusia dikira AI),sulit (semua model salah),1,0.5747,1,0.555,1,0.5077,Pemerintah terus mendorong generasi muda untuk meniti masa depannya menjadi sociopreneur atau wirausaha sosial. Kehadiran para sociopreneur dinilai sangat penti,"Pemerintah terus mendorong generasi muda untuk meniti masa depannya menjadi sociopreneur atau wirausaha sosial. Kehadiran para sociopreneur dinilai sangat penting karena perannya mampu menopang pertumbuhan ekonomi nasional. ""Jadi tidak hanya mengejar keuntungan bisnis, tapi juga bisa memberikan manfaat sebesar-besarnya kepada masyarakat,"" ujar Menteri Ketenagakerjaan RI (Menaker), M. Hanif Dhakiri, saat menjadi narasumber dalam ""Sekolah Miliarder"" yang diselenggarakan oleh PB PMII di Jakarta, Jumat (3/8/2018). Pada dasarnya, sociopreneur merupakan kegiatan wirausaha yang mempunyai perhatian penuh terhadap pengembangan masyarakat di lingkungannya, sehingga mampu memberdayakan masyarakat untuk menghasilkan suatu perubahan sosial yang berujung pada kesejahteraan bersama. ""Saya ingin kalian jadi agen perubahan wirausaha sosial itu,"" ucap Hanif kepada para peserta. Menurutnya, ada beberapa hal yang harus disiapkan generasi muda untuk menjadi sociopreneur. Pertama, motivasi kerja keras dan berbuat kebaikan. Sudah bukan rahasia lagi, kerja keras merupakan kunci bagi seseorang untuk mencapai kesuksesan. ""Sedangkan menjadi baik, menjadi orang yang bisa memberikan manfaatkan sebesar-besarnya kepada orang lain,"" kata Hanif. Kedua, kreatif dan inovatif. Untuk menjadi kreatif dan inovatif, imbuhnya, seseorang harus belajar dan bekerja di atas standar, serta keluar dari zona nyaman. ""Anda harus keluar dari rutinitas. Kalau tidak, Anda akan terlalu nyaman dan pasti tidak akan kreatif,"" ujar Hanif. Ketiga, responsif terhadap perubahan zaman. Perkembangan teknologi dan informasi telah memberi dampak besar terhadap perubahan model bisnis dewasa ini. Untuk itu, wirausahawan muda harus responsif terhadap perubahan zaman agar bisnis yang dijalankan tetap relevan. ""Yang akan bertahan hidup bukanlah mereka yang paling kuat, yang akan bertahan hidup bukanlah mereka yang paling pintar, tapi yang akan bertahan hidup adalah mereka yang paling resposnsif terhadap perubahan"" ucap Hanif, mengutip gagasan Charles Darwin. Terakhir, dirinya mengingatkan para peserta bahwa menjadi wirausahawan tantangannya sangat besar. Oleh karena itu, seorang wirausahawan haruslah pantang menyerah dan istiqomah. ""Jangan berhenti karena capek, tapi berhentilah karena sampai"" kata Hanif. Dalam kesempatan tersebut, ia juga memberikan salah satu contoh bentuk dukungan pemerintah dalam mendorong tumbuhnya wirausahawan muda. Peresmian Innovation Room di Kementerian Ketenagakerjaan RI. Pembangunan Innovation Room, lanjut Hanif, didasari oleh perkembangan teknologi dan informasi yang telah memberi pengaruh besar terhadap perubahan model bisnis berikut keterampilan yang dibutuhkan. Ruangan ini pun diharapkan dapat menjadi sarana untuk membekali generasi muda tentang literasi digital, khususnya digital skill. (*)"
628,Kompas,Temuan Baru: Kopi Punya Efek Berlawanan dengan Ganja,manusia,FP (manusia dikira AI),sulit (semua model salah),1,0.6053,1,0.7624,1,0.6305,Kopi merupakan salah satu jenis minuman yang kini mudah ditemui di mana saja. Banyak orang menggandrungi minuman yang satu ini. Berbagai penelitian terkait kopi,"Kopi merupakan salah satu jenis minuman yang kini mudah ditemui di mana saja. Banyak orang menggandrungi minuman yang satu ini. Berbagai penelitian terkait kopi pun kemudian dibuat. Salah satunya yang dirilis baru-baru ini yakni sebuah penelitian yang mengaitkan kopi sebagai lawan dari ganja. Penelitian yang dipublikasikan dalam Journal of Internal Medicine tersebut menemukan bahwa kopi menyebabkan turunnya kadar endocannabinoid, zat yang terkait dengan sistem tubuh untuk merespons ganja. Para peneliti menemukan orang yang minum antara 4-8 cangkir kopi sehari mengalami penurunan endocannabinoid. Endocannabinoid adalah molekul yang mengikat reseptor cannabinoid (kandungan aktif dalam ganja), yang ditemukan di seluruh sistem saraf, serta jaringan kekebalan dan endokrin. bagi Penderita Batu Ginjal, asal... Tubuh manusia sebenarnya membuat endocannabinoid sendiri. Tapi tubuh juga merespons cannabinoid asing, seperti yang ditemukan di daun tanaman genus Cannabis. Marilyn Cornelis, pemimpin penelitian ini, menyebut bahwa kopi menekan bahan kimia tersebut sehingga mencegah seseorang merokok ganja. Cornelis juga menjelaskan, kopi bisa menghasilkan efek berlawanan dari ganja pada sistem endocannabinoid. Untuk diketahui, penelitian ini tidak melihat sensasi atau perilaku yang dihasilkan dari konsumsi kopi atau ganja, melainkan para peneliti hanya melihat naik-turunnya zat dalam tubuh setelah konsumsi kedua benda tersebut. ""Apa yang kita lihat di sini adalah bahwa sistem yang terkena dampak kopi dan ganja tumpang tindih,"" kata Cornelis dikutip dari Live Science, Kamis (15/03/2018). Cornelis menambahkan, hal ini berarti minum kopi dengan ganja pada sistem tubuh Anda bisa menciptakan efek yang berinteraksi meski sifat interaksinya belum jelas. Menurut Cornelis, basanya endocannabinoid yang menurun dengan konsumsi kopi ini juga menurun saat tubuh sedang stres. Ada kemungkinan jumlah kopi yang dikonsumsi para peserta penelitian ini (4-8 cangkir sehari) menyebabkan stres pada tubuh. Inilah yang diduga sebagai penyebab turunnya tingkat endocannabinoid. Selain itu, Cornelis dan timnya juga menemukan bahwa kosumsi kopi meningkatkan konsentrasi steroid dalam darah. Ini mungkin terjadi karena kopi mengandung steroid tanaman yang disebut fitosterol. Penelitian ini juga menemukan bahwa konsumsi kopi berkaitan dengan perubahan dari sekitar 115 zat dalam darah. Sebanyak 34 di antaranya belum memiliki nama dan perannya pada tubuh tidak diketahui."
464,Liputan6,"Imbas KRL Anjlok, Penyandang Disabilitas Dievakuasi Lewat Pagar",manusia,FP (manusia dikira AI),sulit (semua model salah),1,0.6488,1,0.574,1,0.5055,"KRL Commuter Line jurusan Tanah Abang-Parung Panjang anjlok tidak jauh dari Stasiun Palmerah, Jakarta, Sabtu (13/10/2018). Sejumlah penumpang terpaksa turun di ","KRL Commuter Line jurusan Tanah Abang-Parung Panjang anjlok tidak jauh dari Stasiun Palmerah, Jakarta, Sabtu (13/10/2018). Sejumlah penumpang terpaksa turun di tengah jalan. Akibat insiden ini, kereta yang mengarah menuju Tanah Abang tertahan di sinyal masuk. Sebagian penumpang KRL yang turun dialihkan ke kereta yang menuju Tanah Abang karena jarak berjalan kaki menuju stasiun terdekat, yakni Palmerah, masih sekitar 500 meter. Namun karena pintu yang terlalu tinggi, sebagian besar penumpang memilih berjalan kaki. KRL yang mengarah ke Stasiun Tanah Abang juga ikut tertahan di sinyal masuk. Petugas berulang kali mengumumkan bahwa kereta tertahan karena menunggu antrean. Situasi ini berlangsung selama hampir sejam. Penumpang yang kesal dan kelelahan berdiri di dalam gerbong, akhirnya memutuskan untuk membuka paksa pintu lalu turun. Pantauan Liputan6.com, penumpang berjalan menyusuri rel menuju Stasiun Tanah Abang yang berjarak sekitar 500 meter. Penumpang saling bantu agar bisa turun. Beberapa petugas stasiun juga datang membawa bangku untuk membantu penumpang turun. Petugas keamanan stasiun dan KRL lalu mengarahkan penumpang melalui jalur yang aman. Petugas juga terpaksa mengevakuasi salah seorang penumpang penyandang disabilitas. Awalnya seorang petugas kebersihan KRL berniat menggendong pemuda itu menyusuri rel menuju, tapi urung dilakukan karena jarak yang terlalu jauh. Dibantu penumpang, penyandang tuna daksa itu lalu digendong melewati pagar pembatas menuju permukiman warga terdekat untuk selanjutnya dibawa naik ojek ke stasiun. KCI Minta Maaf PT Kereta Commuter Indonesia (KCI) telah meminta maaf atas keterlambatan yang dialami oleh penumpang kereta jurusan Tanah Abang, Tanah Abang-Serpong-Parung Panjang-Maja-Rangkasbitung. Saat ini, perbaikan tengah dilakukan agar jalur kembali aman dilintasi. ""Saat ini proses evakuasi KA 1962 masih dilakukan oleh tim gabungan dari PT KAI Daop 1 Jakarta dan PT KCI,"" kata VP Corporate Communication KCI Eva Chairunisa. Selama proses evakuasi, lanjut Eva, perjalanan KRL lintas Tanah Abang hingga Rangkasbitung masih tetap dapat dilakukan dengan berjalan bergantian pada jalur yang sama saat melintasi lokasi. Sementara itu, bagi para pengguna jasa yang telah melakukan transaksi tiket dan memutuskan untuk berganti moda transportasi, maka proses pengembalian tiket KRL dapat dilakukan di stasiun terdekat."
16,Detik,Mendikbud Nadiem Soroti Guru Beri Tugas Berlebihan Saat Corona,manusia,FP (manusia dikira AI),sulit (semua model salah),1,0.8179,1,0.9243,1,0.7696,Menteri Pendidikan dan Kebudayaan (Mendikbud) Nadiem Makarim angkat suara terkait banyaknya keluhan para siswa yang merasa terbebani dengan banyaknya tugas seko,"Menteri Pendidikan dan Kebudayaan (Mendikbud) Nadiem Makarim angkat suara terkait banyaknya keluhan para siswa yang merasa terbebani dengan banyaknya tugas sekolah yang diberikan guru saat belajar di rumah karena pandemi virus Corona. Nadiem mengakui selama ini masih banyak sekolah yang belum mengimplementasikan dengan baik proses pembelajaran yang menyenangkan. ""Ini isu terbesar bahwa banyak sekali sekolah maupun guru yang masih belum fully mengimplementasikan pembelajaran yang menyenangkan dan juga menyajikan kurikulum dengan cara yang menyenangkan. Ini bukan cuma masalah online learning, tapi ini masalah untuk online dan offline learning,"" kata Nadiem dalam telekonferensi yang digelar Kemendikbud, Kamis (9/4/2020). Nadiem menyadari saat ini banyak guru yang masih memberikan pekerjaan rumah yang banyak kepada para siswa dalam proses belajar secara daring. Namun, dia mengatakan hal itu merupakan akibat banyak guru yang masih melakukan proses transisi dari sistem belajar secara tatap langsung ke sistem belajar online. Untuk itu, Nadiem mengaku masih memahami proses adaptasi yang dilakukan para guru tersebut. Namun, dia juga sudah memberikan imbauan keras kepada para tenaga pengajar untuk memberikan bimbingan terbaik selama proses belajar online, bukan hanya memberikan siswa banyak pekerjaan rumah. ""Memang ini beberapa guru masih memberikan pekerjaan-pekerjaan yang mungkin sangat berat, dan menurut saya alasannya bukan karena mereka ingin anaknya bekerja atau apa, tapi memang ini masih dalam proses adaptasi terhadap metode pembelajaran online atau jarak jauh. Ini adalah proses transisi,"" kata Nadiem. ""Kita juga sudah beri imbauan yang keras kepada para guru untuk membimbing juga, jangan cuma dibeberkan siswa beban pekerjaan yang banyak,"" sambungnya. Nadiem juga meminta para dinas pendidikan dan guru untuk tidak berorientasi pada banyaknya jumlah bahan-bahan pembelajaran yang diberikan kepada murid. Imbas virus Corona yang membuat Ujian Nasional (UN) ditiadakan tahun ini, lanjut Nadiem, diharapkan dapat membuat pendidik bisa lebih berfokus pada kualitas materi yang diberikan ke siswa. ""Karena ada krisis COVID-19 sehingga kita bilang tidak usah sampai tuntas, tapi mengejarnya kualitas. Sehingga harapannya makin lama mereka akan belajar untuk menemukan format belajar yang lebih menyenangkan siswa,"" pungkas Nadiem."
321,Detik,"Wiebe Wakker, Bule Belanda Bermobil Listrik Singgah di Banyuwangi",manusia,FP (manusia dikira AI),sulit (semua model salah),1,0.8271,1,0.8231,1,0.714,Wiebe berada di Banyuwangi selama dua malam untuk beristirahat dan mengisi ulang baterai mobilnya sebelum melanjutkan perjalanan menuju Timor Leste. Selama bera,"Wiebe berada di Banyuwangi selama dua malam untuk beristirahat dan mengisi ulang baterai mobilnya sebelum melanjutkan perjalanan menuju Timor Leste. Selama berada di Banyuwangi, ia mengaku sangat terkesan dengan kota di ujung timur Pulau Jawa ini, terutama karena bangunan-bangunan peninggalan Belanda yang ada. Pria lulusan Art and Economic, University of Art di Utrecht, Belanda ini juga sempat merasakan kuliner sate ayam dan menyaksikan salah satu kesenian khas Banyuwangi, yakni tarian Gandrung. Kepada Anas, Wiebe juga menyatakan bahwa tujuan utamanya keliling dunia ini tak lain untuk mengkampanyekan mobil listrik sebagai mobil yang ramah lingkungan dan hemat energi. Karena menurutnya, belum banyak negara yang menggunakan mobil listrik. Mobil listrik ini, kata Wiebe, mampu menempuh jarak ribuan kilometer dengan kecepatan 180 km/jam. Selain itu penggunaan mobil ini tidaklah sesulit yang dibayangkan karena untuk pengisian bahan bakar, pengguna hanya mengisi ulang baterainya selama 12 jam. ""Itu bisa dilakukan dimanapun. Baterai yang penuh bisa untuk melakukan perjalanan hingga 200 km,"" kata dia. Diakui Wiebe, butuh waktu panjang untuk mengubah kebiasaan orang menggunakan mobil elektrik, karena mereka beranggapan mobil ini tidak mampu untuk melakukan perjalanan jauh. ""Dengan saya keliling dunia, saya ingin yakinkan bahwa mobil ini mampu menempuh perjalanan ribuan kilometer,"" tambahnya. Anas pun menyatakan rasa terima kasihnya kepada Wiebe karena berkenan untuk singgah di Banyuwangi. ""Dengan keliling dunia menggunakan mobil listrik ini, sangat menginspirasi kami untuk peduli pada lingkungan,"" ungkapnya. Untuk menunjukkan apresiasinya, Anas melanjutkan keterangannya dengan mengatakan bahwa Banyuwangi memiliki kepedulian tinggi terhadap kelestarian lingkungan. Bahkan, sejak 2013 lalu, Banyuwangi telah mencanangkan gerakan sedekah oksigen, di mana masyarakat diajak untuk peduli menjaga lingkungan dengan cara menanam pohon sebanyak-banyaknya di lingkungan masing-masing. Berkat gerakan itu, di Banyuwangi sendiri saat ini sudah ada sedikitnya 6,7 juta pohon baru yang ditanam di lahan-lahan kosong atau lahan kritis, sehingga cadangan oksigen melimpah. Bahkan, karena banyaknya cadangan oksigen ini Banyuwangi ditetapkan ke dalam jaringan Cagar Biosfer Dunia oleh UNESCO. ""Bagi kami menjaga kelestarian lingkungan sangatlah penting. Karena dengan banyaknya pohon bisa menghasilkan udara yang bersih dan segar,"" pungkas Anas."
24,Kompas,Erdogan Berjanji Bersihkan Suriah dari Milisi Kurdi,manusia,FP (manusia dikira AI),sulit (semua model salah),1,0.8306,1,0.9392,1,0.6981,Presiden Turki Recep Tayyip Erdogan berjanji akan mengusir milisi Kurdi yang didukung AS dan juga kelompok milisi ISIS dari Suriah. Pernyataan itu disampaikan E,"Presiden Turki Recep Tayyip Erdogan berjanji akan mengusir milisi Kurdi yang didukung AS dan juga kelompok milisi ISIS dari Suriah. Pernyataan itu disampaikan Erdogan menyusul keputusan AS untuk menarik pasukannya dari negara konflik tersebut. ""Dalam beberapa bulan ke depan kita akan melihat operasi yang bertujuan untuk menyingkirkan milisi YPG (Unit Perlindungan Rakyat Kurdi) dan elemen-elemen Daesh (ISIS) dari tanah Suriah,"" kata Erdogan di Istanbul, Jumat (21/12/2018). Presiden Amerika Serikat Donald Trump telah membuat pengumuman pada Rabu (19/12/2018) malam tentang pernyataan kemenangan atas ISIS di Suriah. soal Peluang Protes Damai di Turki, Erdogan Naik Pitam Selain itu Trump juga memerintahkan untuk segera dilakukan proses penarikan sekitar 2.000 pasukan AS dari Suriah. Sebelumnya, pada pekan lalu, Erdogan telah mengumumkan akan segera memulai operasi militer baru yang dipimpin pasukan Turki. Erdogan menyatakan menyambut keputusan Trump, namun menegaskan bahwa pihaknya akan tetap waspada karena pengalaman buruk di masa lalu. Pernyataan itu mengacu pada kekecewaan Ankara atas kegagalan pemerintahan AS dalam mewujudkan janjinya untuk berhenti memberikan dukungan militer kepada YPG untuk melawan ISIS. November tahun lalu, para pejabat Turki mengatakan bahwa Trump telah berjanji untuk tidak memasok persenjataan kepada milisi YPG di Suriah, meski Gedung Putih tidak menyatakan janji itu secara eksplisit. Dukungan militer AS kepada milisi YPG telah mengawali dimulainya peranan negara itu dalam pertempuran di Suriah yang bertujuan untuk melenyapkan kelompok teroris ISIS. Sebelumnya diberitakan, Erdogan mengatakan pada 12 Desember bahwa Turki akan memulai operasi militer baru di Suriah utara dalam beberapa hari ke depan, namun pada 14 Desember, dia berbicara dengan Trump melalui telepon. Menurut harian Turki, Hurriyet News, pada Jumat (21/12/2018), keputusan Trump untuk mundur dari Suriah terkait dengan komunikasi telepon tersebut. Sementara Turki mengatakan akan menunggu sedikit lebih lama sebelum meluncurkan operasi militer baru ke Suriah."
423,Detik,Kisah Palestine Walk di Kawasan Alun-alun Bandung,manusia,FP (manusia dikira AI),sulit (semua model salah),1,0.8404,1,0.9444,1,0.7287,"""Baru saja kita meresmikan Palestine Walk sebagai satu simbol dukungan seluruh rakyat Indonesia pada perjuangan rakyat Palestina untuk mendapat kemerdekaan,"" uj","""Baru saja kita meresmikan Palestine Walk sebagai satu simbol dukungan seluruh rakyat Indonesia pada perjuangan rakyat Palestina untuk mendapat kemerdekaan,"" ujar Retno usai peresmian, Sabtu (13/10/2018). Pihaknya sengaja memilih tempat tersebut sebagai lokasi Palestine Walk karena strategis berada di pusat kota. Selain itu, letak Alun-alun Bandung berdekatan dengan Gedung Merdeka yang menjadi tempat bersejarah pertama kali Konferensi Asia Afrika pada tahun 1955. Peresmian Palestine Walk, menurut Retno, sebagai pembuka acara Palestine Solidarity Week yang dimulai pada hari ini hingga sepekan ke depan. Dalam rangkaian acara tersebut akan digelar banyak kegiatan. ""Tujuannya satu, untuk menunjukkan dukungan seluruh rakyat Indonesia pada perjuangan kemerdekaan rakyat Palestina,"" ucap Retno. Menteri Luar Negeri Palestina Riad Malki menyampaikan rasa terima kasih dari seluruh rakyat Palestina terhadap Indonesia yang tak henti-hentinya memberikan dukungan. Ia berharap momen kali ini akan menjadi spirit baru untuk terus memperjuangkan kebebasan dan kemerdekaan bagi Palestina. ""Setiap Anda berjalan di sini, ingatlah rakyat Palestina yang sedang berjuang di sana,"" ujar Riad. Wali Kota Bandung Oded M Danial sangat senang dengan adanya Palestine Walk. Terlebih Bandung sebagai ibu kota Asia-Afrika bisa membantu dan terus berjuang untuk saudara-saudara yang berada di Palestina. ""Mudah-mudahan ini sejarah buat kita bangsa Indonesia khususnya warga Bandung untuk mengingat bahwa Palestina adalah negara yang dulu memberikan dukungan kemerdekaan bagi Indonesia,"" tutur Oded. Oded berharap Palestine Walk bukan hanya menjadi destinasi wajib yang dikunjungi oleh wisatawan, tapi juga sebagai simbol mengingatkan besarnya dukungan Indonesia terhadap Palestina. Lokasi Palestine Walk menjadi spot foto baru di kawasan Alun-alun Bandung. Sebab di tempat ini banyak ornamen-ornamen menarik yang bisa menjadi latar berfoto seperti tulisan Bandung Love Palestina yang berada di tengah pedestrian dan sebuah gerbang bertuliskan Palestine Walk."
