row_index,doc_id,source_id,label_aktual,prediksi_fusi_penuh,probabilitas_AI_fusi_penuh,fusi_penuh_benar,kombinasi_penyelamat,diselamatkan_konfigurasi_3_fitur,diselamatkan_konfigurasi_2_fitur,diselamatkan_konfigurasi_1_fitur,jumlah_kombinasi_penyelamat,tetap_salah_di_semua_konfigurasi_alternatif
56,56,28,0,1,0.9091280773315152,False,bert; sty+bert; tfidf+bert,False,True,True,3,False
65,65,32,1,0,0.0007179125305954,False,,False,False,False,0,True
130,130,65,0,1,0.7377091649679676,False,perp; bert+perp; tfidf+bert+perp,True,True,True,3,False
156,156,78,1,0,0.0752505964813913,False,tfidf; bert; sty+tfidf; sty+bert; tfidf+bert; sty+tfidf+bert; tfidf+bert+perp,True,True,True,7,False
218,218,109,1,0,0.1011082300294946,False,sty; tfidf; bert; sty+tfidf; sty+bert; tfidf+bert; sty+tfidf+bert,True,True,True,7,False
268,268,134,1,0,0.3176354345283084,False,tfidf; bert; tfidf+bert; tfidf+bert+perp,True,True,True,4,False
329,329,165,0,1,0.6459433574114288,False,sty; tfidf; bert; perp; sty+tfidf; sty+bert; tfidf+bert; tfidf+perp; sty+tfidf+bert,True,True,True,9,False
422,422,211,1,0,0.0131784827579076,False,tfidf; bert; tfidf+bert,False,True,True,3,False
425,425,213,0,1,0.8354929832391312,False,sty; tfidf; bert; sty+bert; tfidf+bert; bert+perp,False,True,True,6,False
460,460,230,1,0,0.4629010168110643,False,tfidf; bert; sty+bert; tfidf+bert; sty+bert+perp,True,True,True,5,False
463,463,232,0,1,0.9892135952270202,False,tfidf; bert; sty+bert; tfidf+bert,False,True,True,4,False
552,552,276,1,0,0.3974610357107805,False,tfidf; bert; sty+tfidf; sty+bert; tfidf+bert; sty+tfidf+bert; sty+tfidf+perp,True,True,True,7,False
560,560,280,1,0,0.4515979758345772,False,tfidf; perp; sty+tfidf; tfidf+bert; tfidf+perp; sty+tfidf+perp,True,True,True,6,False
588,588,294,1,0,0.354467853665746,False,sty; bert; sty+tfidf; sty+bert; sty+perp; tfidf+bert; sty+tfidf+bert; sty+bert+perp,True,True,True,8,False
666,666,333,1,0,0.047598483601185,False,perp,False,False,True,1,False
676,676,338,1,0,0.4349268412289774,False,tfidf; perp; sty+perp; tfidf+perp; sty+tfidf+perp; sty+bert+perp,True,True,True,6,False
700,700,350,1,0,0.2915610255562881,False,tfidf; bert; perp; tfidf+bert; tfidf+perp; bert+perp; tfidf+bert+perp,True,True,True,7,False
722,722,361,1,0,0.1140253723442024,False,sty+bert,False,True,False,1,False
789,789,396,0,1,0.6966879329688551,False,sty; tfidf; bert; sty+tfidf; sty+bert; sty+perp; tfidf+bert; tfidf+perp; sty+tfidf+bert; sty+tfidf+perp,True,True,True,10,False
835,835,419,0,1,0.9079297060405274,False,tfidf; bert; sty+tfidf; sty+bert; tfidf+bert; sty+tfidf+bert,True,True,True,6,False
903,903,454,0,1,0.5806544636088894,False,tfidf; perp; tfidf+perp; bert+perp; tfidf+bert+perp,True,True,True,5,False
1066,1066,535,1,0,0.0345314682760354,False,tfidf; bert; tfidf+bert,False,True,True,3,False
1108,1108,556,1,0,0.1243611672170271,False,bert; tfidf+bert; sty+tfidf+bert; tfidf+bert+perp,True,True,True,4,False
1254,1254,629,1,0,0.1974216030065768,False,sty; tfidf; bert; sty+tfidf; sty+bert; tfidf+bert; sty+tfidf+bert,True,True,True,7,False
1435,1435,720,0,1,0.7260415010464809,False,bert; perp; bert+perp,False,True,True,3,False
1585,1585,795,1,0,0.2608738523302349,False,tfidf; bert; perp; tfidf+bert; tfidf+perp; bert+perp; tfidf+bert+perp,True,True,True,7,False
1651,1651,829,0,1,0.53643263527641,False,perp; sty+perp; tfidf+perp; bert+perp; sty+tfidf+perp,True,True,True,5,False
1718,1718,862,1,0,0.213737662773521,False,tfidf; bert; sty+tfidf; sty+bert; tfidf+bert; bert+perp; sty+tfidf+bert; tfidf+bert+perp,True,True,True,8,False
