doc_id,source_id,source,label_aktual_str,jenis_kesalahan_cat,kategori,cat_pred,cat_prob_AI,xgb_pred,xgb_prob_AI,rf_pred,rf_prob_AI,cuplikan_teks,text
news-32-ai,32,id_newspapers_2018,AI,FN (AI dikira manusia),sulit (semua model salah),0,0.0007,0,0.004,0,0.1169,"Dua pemuda nekat mengambil kotak amal anak yatim yang ada di salah satu masjid di kawasan Jakarta Selatan. Mengaku butuh uang untuk melamar kerja, mereka mengir","Dua pemuda nekat mengambil kotak amal anak yatim yang ada di salah satu masjid di kawasan Jakarta Selatan. Mengaku butuh uang untuk melamar kerja, mereka mengira mengambil kotak amal yang disimpan di masjid akan menjadi jalan keluar. Kapolsek Pesanggrahan, Kompol Agung Pribadi, membenarkan atas kejadian tersebut. Menurutnya, kedua pelaku berhasil ditangkap dan mengakui perbuatannya. ""Dua tersangka yang berhasil kita tangkap, yakni MES (24) dan L (22). Keduanya nekat mengambil kotak amal yang isi dananya ditujukan bagi anak yatim,"" ujarnya. Kedua pelaku mengaku bingung mencari pekerjaan di waktu pandemi Covid-19 yang membuat banyak perusahaan merumahkan karyawan. Sambil berjalan-jalan mencari solusi, mereka melihat kotak amal yang menurut mereka tidak terkunci dengan ketat. ""Awalnya kami bukan berencana mau ambil kotak amal. Tapi waktu lihat enggak terkunci dengan rapat, karena juga butuh duit untuk melamar kerja, akhirnya kami nekat ambil,"" kata MES. Dalam kasus ini, kedua pelaku dijerat dengan Pasal 362 KUHP tentang penggelapan. Mereka terancam hukuman penjara paling lama lima tahun. Terkininya, komunitas masjid tempat kotak amal tersebut disimpan menyesalkan perbuatan MES dan L. Mereka merasa sedih dan kecewa karena meskipun tempat tersebut bukan tempat terbesar untuk beramal, namun sangat bermanfaat bagi anak yatim piatu. ""Kami mengimbau masyarakat untuk lebih bijak dalam mengambil keputusan. Beramal itu sebenarnya bukan hanya sekedar bagi-bagi uang, tapi juga untuk memperbaiki karakter diri. Sekecil apa pun amal yang kita berikan akan bermanfaat bagi orang yang membutuhkan,"" tutup ketua masjid tersebut, Muhammad Yusuf."
news-1235-ai,1235,id_newspapers_2018,AI,FN (AI dikira manusia),sulit (semua model salah),0,0.004,0,0.0087,0,0.1308,"Tim nasional Inggris berhasil meraih kemenangan gemilang pada pertandingan terakhir fase grup Piala Dunia 2018 melawan Panama. Di balik kemenangan tersebut, med","Tim nasional Inggris berhasil meraih kemenangan gemilang pada pertandingan terakhir fase grup Piala Dunia 2018 melawan Panama. Di balik kemenangan tersebut, media London pun larut dalam eforia. Dalam pertandingan yang berlangsung di Stadion Nizhny Novgorod pada Minggu (24/6), Inggris berhasil mengalahkan timnas Panama dengan skor telak 6-1. Gol-gol Inggris dilesakkan oleh John Stones pada menit ke-8 dan ke-40, Harry Kane pada menit ke-22 (penalti), ke-45+1 (penalti), dan ke-62 serta Jesse Lingard pada menit ke-36. Sementara itu, gol hiburan Panama dicetak oleh Felipe Baloy pada menit ke-78. Kemenangan gemilang ini membuat Inggris memastikan posisi sebagai juara grup G dengan raihan 6 poin dan selisih gol +6. Mereka akan berhadapan dengan runner-up grup H pada babak 16 besar. Tak hanya pelatih dan pemain Inggris yang merayakan kemenangan ini, namun media di London pun turut merespons positif. Salah satu koran di London, The Guardian, menulis headline dengan judul ""Kemenangan telak Inggris atas Panama membangkitkan harapan kemenangan Piala Dunia"". Sementara itu, surat kabar The Telegraph menulis judul ""Inggris menunjukkan kekuatan dalam permainan mereka dengan kemenangan 6-1 melawan Panama"". Dalam artikelnya, The Telegraph menyoroti performa apik Harry Kane yang berhasil mencetak hattrick dan kini menjadi top skor sementara Piala Dunia 2018. Tak hanya itu, publik Inggris pun ramai di media sosial dengan banyaknya ucapan selamat dan dukungan untuk timnas Inggris. Banyak yang percaya bahwa Inggris kini memiliki peluang besar untuk meraih gelar juara Piala Dunia setelah terakhir kali meraihnya pada tahun 1966. Namun, pelatih Gareth Southgate masih berhati-hati dan menekankan bahwa mereka harus terus memperbaiki kekurangan dalam skuad. ""Kami tahu bahwa masih ada ruang untuk perbaikan dan kami tak boleh lengah. Perlakuan bola, pertahanan, dan celah-celah di sisi kami masih harus diperbaiki,"" ucap Southgate dalam konferensi pers usai pertandingan. Tak hanya para pemain dan pelatih yang merayakan kemenangan, namun publik Inggris pun turut merayakan kemenangan ini. Ratusan penggemar Inggris berkumpul di sejumlah pub di seluruh kota London dan merayakan kemenangan berturut-turut yang mereka raih di Piala Dunia 2018. Berikut susunan pemain Inggris yang turun dalam pertandingan itu: Inggris (3-1-4-2): Jordan Pickford; Kyle Walker, John Stones (Harry Maguire 79'), Ruben Loftus-Cheek; Jordan Henderson; Kieran Trippier, Jesse Lingard (Fabian Delph 63'), Ashley Young; Raheem Sterling (Marcus Rashford 68'), Harry Kane (c), Dele Alli. Sementara itu, Panama (4-1-4-1): Jaime Penedo; Michael Murillo, Felipe Baloy (c), Roman Torres (Harold Cummings 45'), Eric Davis; Gabriel Gomez (Armando Cooper 63'); Jose Luis Rodriguez, Anibal Godoy (Luis Tejada 73'), Edgar Barcenas, Ismael Diaz; Blas Perez."
news-211-ai,211,id_newspapers_2018,AI,FN (AI dikira manusia),sulit (semua model salah),0,0.0132,0,0.019,0,0.2395,"Acara penghargaan musik BET Awards 2018 telah digelar pada Juni lalu di Microsoft Theater, Los Angeles, Amerika Serikat. Sejumlah musisi dan selebritas ternama ","Acara penghargaan musik BET Awards 2018 telah digelar pada Juni lalu di Microsoft Theater, Los Angeles, Amerika Serikat. Sejumlah musisi dan selebritas ternama hadir untuk merayakan malam spesial ini. Acara yang digawangi oleh Jamie Foxx sebagai presenter ini sukses menjadi perbincangan publik. Pasalnya, sebagai ajang penghargaan bagi insan-perkembangan musik kulit hitam, BET Awards 2018 berhasil menghadirkan hiburan yang sangat memuaskan. Sejak pengumuman nominasi, para penggemar tentu saja sangat menantikan siapa yang akan menggenggam penghargaan di kategori-kategori yang diperebutkan oleh para talenta terbaik dunia. Kali ini, merangkum daftar lengkap pemenang BET Awards 2018. Kategori Best Female R&B/Pop Artist berhasil diraih oleh Beyonce. Setelah vakum selama beberapa tahun, istri dari Jay-Z ini kembali meroket dan tengah menjadi buah bibir. Beyonce berhasil menyisihkan beberapa nama besar seperti Rihanna, Kehlani, SZA, H.E.R, dan Daniel Caesar. Penasaran dengan kategori kedua? Best Male R&B/Pop Artist 2018 jatuh ke tangan Bruno Mars. Selain Bruno Mars, kategori ini juga diikuti oleh Chris Brown, Khalid, The Weekend, and Daniel Caesar. Sementara itu, Cardi B berhasil menyabet kategori Best Female Hip Hop Artist. Sebuah penghargaan yang sangat layak buat rapper berkebangsaan Amerika Serikat ini. Cardi B mengungkapkan kebahagiaannya melalui akun instagram miliknya. Berhasil mengeluarkan album pertamanya yang berjudul ""Invasion of Privacy"", rapper ini mampu membawa perubahan di industri musik Amerika. Berkat lagu 'God's Plan'-nya, Drake berhasil meraih kemenangan di kategori Best Male Hip-Hop Artist. Dalam penghargaan ini, hamper semua rapper berkebangsaan Afrika Amerika mengincar kategori tersebut. Namun, Drake berhasil mengeluarkan rap dengan lirik-lirik yang sangat menginspirasi. Di samping kategori individu, BET Awards 2018 juga melirik industri musik hip-hop yang sedang bergaung saat ini. Migos berhasil meraih penghargaan Best Group. Kolaborasi trio dari Atlanta ini menghasilkan beberapa karya musik sukses di musim panas lalu. Kemenangan ini menjadi sebuah puncak karir bagi Migos. Terakhir, penghargaan yang paling ditunggu-tunggu adalah Album of The Year. Alhasil, kali ini penghargaan tersebut berhasil diraih oleh Kendrick Lamar lewat album 'DAMN'. Karya ini berhasil mengalahkan album dari Jay-Z, The Weekend, dan masih banyak lagi. Acara penghargaan BET Awards 2018 ini juga diwarnai dengan penampilan spesial dari Nicki Minaj, Migos, Meek Mill, dan masih banyak lagi. Berbagai barisan musisi terkenal berkat karyanya itu menunjukan performa terbaik yang bisa mereka berikan. Pergelaran BET Awards 2018 sukses membuat dunia musik bergoyang. Acara ini mempertemukan banyak musisi terkenal Artis-artis terbaik di industri musik dunia berkumpul dalam sebuah malam penghargaan yang sangat prestisius ini. Namun, dari sekian banyak pemenang tentu saja ada yang tidak sependapat dengan hasil yang keluar. Bagaimana menurutmu? Silahkan bagikan pendapatmu di kolom komentar."
news-2233-ai,2233,id_newspapers_2018,AI,FN (AI dikira manusia),sulit (semua model salah),0,0.0221,0,0.0209,0,0.4775,"Mengikuti perkembangan timnas Jerman jelang Piala Dunia 2018, tampaknya ada kabar baik dan kabar kurang baik dalam tim Die Mannschaft. Bek Matthias Hummels dium","Mengikuti perkembangan timnas Jerman jelang Piala Dunia 2018, tampaknya ada kabar baik dan kabar kurang baik dalam tim Die Mannschaft. Bek Matthias Hummels diumumkan pulih dari cedera yang memaksa dia absen dari pertandingan melawan Austria, sedangkan gelandang Sebastian Rudy dikabarkan masih diragukan untuk bela timnya di Rusia nanti. Melalui akun Twitter resminya, tim nasional Jerman mengabarkan bahwa Hummels sudah bisa latihan kembali bersama rekan-rekannya. ""Kabar baik: Hummels sudah bisa kembali melakukan latihan penuh dengan tim!"" demikian bunyi keterangan yang diposting Jumat (8/6). Cedera yang dialami Hummels selama pertandingan persahabatan melawan Austria beberapa waktu lalu cukup membuat khawatir pelatih Joachim Low. Kabar baik dari pulihnya Hummels tentu membawa kelegaan buat Low mengingat bek tengah Bayern Munich tersebut merupakan salah satu pemain penting dalam lini pertahanan Jerman. Namun sayangnya, hanya beberapa waktu setelah kabar baik dari Hummels, kabar kurang baik datang dari Sebastian Rudy. Gelarandang Bayern Munich tersebut diragukan untuk bermain di Piala Dunia 2018 akibat cedera yang dialaminya saat pertandingan uji coba melawan Saudi Arabia. Rudy mengalami cedera hidung akibat benturan yang cukup keras. Walaupun tidak ada patah tulang, namun pelatih Joachim Low masih meragukan apakah Rudy sudah bisa fit sepenuhnya untuk tampil di Piala Dunia. ""Dia mengalami sedikit cedera hidung. Walaupun hanya cedera kecil, kami tetap harus melihat situasinya,"" ujar Low seperti dikutip dari Reuters, Sabtu (9/6). Jika Rudy terpaksa harus absen di Piala Dunia, maka tentu saja Low harus mencari solusi pengganti yang tepat mengingat Rudy merupakan salah satu gelandang andalan Jerman. Mungkin saja Low akan mempertimbangkan untuk memasang Ilkay Gundogan atau Sami Khedira sebagai pengganti Rudy di lini tengah. Kabar baik dari Hummels dan kabar kurang baik dari Rudy tentu saja membuat timnas Jerman harus beradaptasi dan menyeimbangkan kembali strategi mereka jelang Piala Dunia tahun ini. Masih ada beberapa pertandingan uji coba yang akan dijalani Jerman sebelum menjajal pertandingan perdana mereka di Piala Dunia melawan Meksiko pada 17 Juni mendatang. Tentunya, Low dan para pemain akan bekerja keras demi memastikan kesiapan dan performa mereka dalam ajang sepakbola bergengsi empat tahunan ini. Penampilan menjanjikan saat bertanding mempersiapkan Piala Dunia akan menjadi modal penting bagi Jerman saat meraih kemenangan di Rusia. Semoga kekuatan timnas Die Mannschaft tetap terjaga dan bisa memberikan yang terbaik di Rusia nanti. (VSD)"
news-1344-ai,1344,id_newspapers_2018,AI,FN (AI dikira manusia),sulit (semua model salah),0,0.0254,0,0.0153,0,0.2906,"Hot Dog Water, sajian air berkat yang dijual di festival musik di Vancouver beberapa waktu lalu, kembali mencuri perhatian. Kini, air hasil rebusan sosis itu di","Hot Dog Water, sajian air berkat yang dijual di festival musik di Vancouver beberapa waktu lalu, kembali mencuri perhatian. Kini, air hasil rebusan sosis itu diklaim mampu menurunkan berat badan. Dalam sebuah kemasan botol berlabel 'Hot Dog Water', terdapat air murni dengan seutas sosis celup di dalamnya. Produsen mengklaim, air ini dirancang khusus untuk menurunkan berat badan, meningkatkan kesehatan, serta membantu pemulihan otot. Mengutip laman resmi produsen, Hot Dog Water mengandung nutrisi yang dibutuhkan tubuh, termasuk elektrolit dan mineral yang cukup. ""Kami tahu bahwa memakan hot dog kurang baik bagi kesehatan, jadi kami mencoba memberikan solusi dengan air hasil rebusan hot dog yang lebih sehat,"" tulis pernyataan tersebut. Namun, ada yang berbeda dari air berlabel Hot Dog Water ini. Produsen menambahkan unsur yang mereka sebut sebagai ""energi frekuensi"" dalam proses pembuatannya. Unsur ini diyakini mampu meningkatkan kesehatan dan mengurangi stres. Seorang pelanggan bernama Dorthy Wang mengaku membeli produk ini karena tertarik dengan embel-embel ""energi frekuensi"" yang unik. ""Awalnya saya pikir itu lelucon, tapi setelah membaca penjelasan di kemasan, saya jadi tertarik mencobanya,"" ujarnya. Namun, apa kata ahli gizi mengenai klaim Hot Dog Water untuk menurunkan berat badan? Menurut Stephanie Schiff, ahli gizi dari Northwell Health Huntington Hospital, tidak ada bukti ilmiah yang menunjukkan bahwa air hasil rebusan hot dog bisa membantu menurunkan berat badan. ""Saat mengonsumsi air hasil rebusan sosis, kita hanya mendapat protein dan garam yang terlarut dalam air. Secara umum, kita lebih baik mengonsumsi makanan yang banyak mengandung serat, vitamin, dan mineral,"" tuturnya. Schiff juga menyarankan agar pelanggan lebih berhati-hati dengan produk yang mengklaim mampu meningkatkan kesehatan tanpa adanya dukungan ilmiah yang cukup. ""Pastikan produk tersebut terdaftar di lembaga pengawas kesehatan, dan baca selalu label kemasannya sebelum membeli,"" tandasnya. Meski demikian, sebelumnya Hot Dog Water sempat menjadi viral karena klaimnya mampu menghilangkan racun dalam tubuh dan membantu menurunkan berat badan. Beberapa pelanggan yang mencobanya bahkan mengaku merasakan manfaatnya, meski klaim mereka belum terbukti secara ilmiah. Sampai saat ini, Hot Dog Water belum dijual di Indonesia. Namun demikian, perlu diingat untuk selalu bersikap bijak dalam memilih produk kesehatan, dan jangan mudah terpengaruh oleh klaim-klaim yang belum dibuktikan secara ilmiah."
news-908-ai,908,id_newspapers_2018,AI,FN (AI dikira manusia),sulit (semua model salah),0,0.0311,0,0.0374,0,0.2897,"Puluhan ribu anggota Banser Siaga atau Barisan Ansor Serba Guna Siaga dari wilayah Jawa, Bali, Sulawesi dan Nusa Tenggara Timur, sepakat untuk menggelar aksi de","Puluhan ribu anggota Banser Siaga atau Barisan Ansor Serba Guna Siaga dari wilayah Jawa, Bali, Sulawesi dan Nusa Tenggara Timur, sepakat untuk menggelar aksi demonstrasi ke markas Pengurus Besar Nahdlatul Ulama (PBNU) pada bulan depan. Para demonstran akan memprotes serangkaian rencana dan kebijakan pihak PBNU, khususnya terkait lawatan Gus Yahya. Kuasa hukum perwakilan pengadu, Asad Wahyudi, mengungkapkan bahwa demonstrasi tersebut akan dilakukan pada tanggal 15 Juni 2021. ""Rencananya pembacaan surat keputusan serta pidato dan orasi dari sejumlah tokoh akan dimaksud dalam aksi tersebut"", kata Asad kepada pada Kamis (27/5). Mereka yang hadir di depan markas PBNU nantinya juga akan membawa sejumlah spanduk dan poster dengan sejumlah tuntutan. Di antaranya menolak segala bentuk penindasan dan penganiayaan kepada anggota Banser Siaga, menuntut PBNU menghentikan kebijakan yang merugikan Banser Siaga seperti penghapusan alokasi anggaran dan pemutusan program seperti bantuan sembako dan pendistribusian obat gratis. Banser Siaga sendiri merupakan ormas pelopor program bakti sosial Nahdlatul Ulama. Sejak awal pandemi, Banser Siaga sudah terlibat dalam penanganan Covid-19 dengan memberikan bantuan sembako, obat-obatan dan masksr secara gratis kepada masyarakat terdampak. Dalam hal ini, perwakilan pengadu menyampaikan bahwa tuntutan aksi demonstrasi para Banser Siaga masih relevan. ""Selain itu, tuntutan untuk menghentikan lawatan Gus Yahya juga menjadi salah satu tuntutan dalam aksi yang akan datang,"" jelas Asad. Sebagaimana diketahui, PBNU merencanakan kunjungan Gus Yahya setelah sebelumnya ser serangkaian kegiatan baik internal dan eksternal PBNU harus tertunda karena pandemi. Lawatan Gus Yahya dapat menjadi momen yang penting bagi gerakan Banser Siaga, terutama depan jajaran pengurus NU pusat. ""Mereka akan menyoroti kembali kebijakan-kebijakan PBNU yang dinilai merugikan Banser Siaga,"" tandas pengacara tersebut. Soal rencana demonstrasi ini, PBNU mengaku akan membuka dialog dengan para pengunjuk rasa. Wakil Ketua Umum Jam'iyah Ahlith Thariqah Al-Mu'tabarah An-Nahdliyah, H Achmad Yasin, mengatakan bahwa PBNU siap menerima tuntutan Banser Siaga. ""Kami tentu akan membuka ruang dialog ataupun komunikasi dengan para pengunjuk rasa. PBNU sebagai induk ormas banser akan berupaya agar tuntutan mereka tertampung secara tersedia atau terukur,"" kata Achmad. Namun, hingga kini belum ada kejelasan soal izin aksi demonstrasi ini dari Kepolisian. Kepala Bidang Hubungan Masyarakat Polda Metro Jaya, Komisaris Besar Polisi Yusri Yunus, mengatakan belum menerima pemberitahuan resmi dari Banser Siaga terkait aksi demonstrasi mereka.(*RF)"
news-535-ai,535,id_newspapers_2018,AI,FN (AI dikira manusia),sulit (semua model salah),0,0.0345,0,0.0329,0,0.2238,Keberadaan superhero di dunia komik selalu menjadi magnet bagi penggemarnya. Superhero yang memiliki kekuatan luar biasa untuk menyelamatkan dunia dari kejahata,"Keberadaan superhero di dunia komik selalu menjadi magnet bagi penggemarnya. Superhero yang memiliki kekuatan luar biasa untuk menyelamatkan dunia dari kejahatan selalu muncul dengan citra yang perkasa dan abadi. Namun, penerbit-penerbit komik terkenal dunia mulai menghadirkan cerita-cerita mengenai kehidupan superhero yang sudah tua. Seiring berjalannya waktu, superhero juga tumbuh tua dan menghadapi berbagai masalah baru yang tidak pernah terpikirkan sebelumnya. Para penerbit komik pun mulai memasukkan tema ini ke dalam karya mereka. Di antara mereka, banyak sekali yang berhasil membuat kisah superhero tua menjadi sangat menarik. Berikut adalah 10 komik yang menghadirkan jalan cerita mengenai superhero yang sudah tua. 1. The Dark Knight Returns - Frank Miller Komik ini menceritakan ketika Batman sudah lanjut usia dan harus menghadapi problema baru di kota Gotham. Dia pun harus menghadapi Joker dan Superman yang kini bekerja untuk pemerintah. 2. Old Man Logan - Mark Millar Logan, alias Wolverine, telah berhenti menjadi superhero selama bertahun-tahun. Dia harus menjalani kehidupan barunya sebagai farmer di sebuah desa. Namun, suatu hari, ia harus kembali menggunakan kekuatannya ketika situasi memaksa. 3. Kingdom Come - Mark Waid & Alex Ross Superman sudah menjadi pria tua dan menarik diri dari kehidupan superhero. Namun, dunia superhero yang dia tinggalkan berubah menjadi tidak stabil dan dia harus kembali beraksi. 4. Batman Beyond - Hilary J. Bader Di masa depan, Bruce Wayne telah meninggal dan mewariskan kekuasaan Batman pada muridnya, Terry McGinnis. Terry harus belajar cara menjadi Batman dan menghadapi beberapa masalah baru. 5. Fantastic Four: The End - Alan Davis Komik yang tampil di akhir tahun 2006 ini mengisahkan kehidupan keluarga Fantastic Four ketika sudah tua. Mereka harus menghadapi masalah yang belum pernah mereka alami sebelumnya. 6. Superman: Grounded - J. Michael Straczynski Superman mengalami krisis identitasnya dan memutuskan untuk berjalan-jalan di sekitar Amerika Serikat. Selama perjalanannya, dia bertemu dengan berbagai orang dan belajar banyak tentang dirinya sendiri. 7. The Incredible Hulk: Future Imperfect - Peter David Hulk sudah menjadi orang yang tenang dan tinggal di sebuah dunia yang kacau akibat pengaruhnya. Namun, ketika Hulk dari masa lalu tiba, dia harus kembali berperang dan bertarung melawan dirinya sendiri. 8. X-Men: Days of Future Past - Chris Claremont Versi masa depan dari para X-Men harus melawan kekuatan Sentinels yang memburu para mutan. Mereka terpaksa melakukan perjalanan waktu untuk mengubah masa depan mereka. 9. Green Lantern: Rebirth - Geoff Johns Komik ini mengisahkan kehidupan John Stewart, salah satu Green Lantern, yang sudah tua dan pensiun. Namun, dia harus kembali beraksi ketika musuh lamanya kembali menyerang. 10. Spider-Man: Reign - Kaare Andrews Dalam versi masa depan, Peter Parker sudah memasuki masa pensiun dan dunia telah menjadi lebih gelap. Dia pun harus melakukan aksi heroik terakhir untuk menyelamatkan kota. Itulah 10 komik yang menarik dengan tema superhero yang sudah tua. Komik-komik ini mampu membawa pembaca berimajinasi mengenai kehidupan superhero di masa tua mereka. Meski demikian, superhero tetaplah menjadi tokoh pahlawan yang selalu menginspirasi pembaca hingga di usia senjanya."
news-1634-ai,1634,id_newspapers_2018,AI,FN (AI dikira manusia),sulit (semua model salah),0,0.0349,0,0.006,0,0.3154,Potret keadaan PT Garuda Indonesia (Persero) Tbk pada akhir-akhir ini memang tak membesarkan hati. Ada sederet skandal yang menimpa maskapai bendera Indonesia t,"Potret keadaan PT Garuda Indonesia (Persero) Tbk pada akhir-akhir ini memang tak membesarkan hati. Ada sederet skandal yang menimpa maskapai bendera Indonesia tersebut, seperti kasus pramugari pesawat yang di iringi penyeludupan Harley Davidson, penggelapan mesin pesawat hingga kasus rancangan pembelian pesawat Airbus. Menanggapi hal ini, mantan Menteri Koordinator Bidang Kemaritiman dan Investasi Rizal Ramli kembali memberikan pandangan bagi pihak terkait, termasuk Presiden Joko Widodo. Rizal Ramli pernah memberikan peringatan bagi Jokowi tentang krisis yang menimpa Garuda. ""Kalian ketahuilah, berapa banyak rancangan-rancangan proyek-proyek yang naik ke saya yang. Yang paling menyedihkan benar-benar itu Garuda. Garuda sekarang krisis, padahal waktu saya jadi menteri keuangan sektor penerbangan tumbuh 8% per tahun, bahkan tumbuh lebih dari itu,"" ujar Rizal Ramli dalam video beredar di kanal Youtube ""Pikiran Rakyat TV"". Menurut Rizal, dalam video tersebut, persoalan dalam Garuda terkait dengan pengabaian integritas dan tata kelola yang baik. Ia juga menjelaskan bahwa persoalan Garuda tidak semata masalah internal, tetapi pengaruhnya sangat masif terhadap perekonomian nasional. ""Jangan anggap Garuda itu persoalan internal, tapi jangan mau menilai Garuda sebagai sebuah persoalan perseorangan. Kalau Garuda jatuh, hal ini akan mengganggu perekonomian yang selama ini kalian bangun,"" tuturnya. Belum diketahui apa yang menjadi respons Jokowi atas peringatan tersebut. Namun, dalam beberapa minggu terakhir, Presiden tampaknya merespons situasi di Garuda dengan tegas. Sejumlah pejabat di PT Garuda pun bisa langsung menjadi korban dari aksi pembersihan yang dilakukan Presiden Jokowi. Dalam peringatan Dies Natalis Fakultas Ekonomi Universitas Diponegoro, Jokowi mengatakan ingakan raksasa yang sama sekali tak berguna seandainya tidak memikirkan kesejahteraan bangsa. ""Jangan sampai raksasa kita sebesar Garuda itu karena setengah-setengah dalam menangani pengelolaannya, terjebak dalam persoalan korupsi dan menabrak aturan yang sudah ditetapkan,"" kata Jokowi. Mudah-mudahan tindakan tegas Jokowi dan langkah-langkah lainya bisa menyelesaikan krisis di PT Garuda Indonesia. Karena jika tidak, bukan hanya PT Garuda yang dirugikan tapi juga perekonomian negara yang selama ini kita bangun bersama."
news-1860-ai,1860,id_newspapers_2018,AI,FN (AI dikira manusia),sulit (semua model salah),0,0.0407,0,0.0975,0,0.3545,"Indonesia, being the country with the largest Muslim population in the world, has been experiencing an imbalance in the number of Muslim entrepreneurs. Despite ","Indonesia, being the country with the largest Muslim population in the world, has been experiencing an imbalance in the number of Muslim entrepreneurs. Despite being a predominantly Muslim country, the number of Muslim entrepreneurs is still low, which raises concerns among the Muslim community themselves. According to the statistics released by the Ministry of Cooperatives and Small and Medium Enterprises last year, the number of Muslim entrepreneurs in Indonesia was only 0.1 percent, compared to 96 percent of the total population of Muslims. This means that the portion of Muslim entrepreneurs is not proportional at all compared to the population. The low number of Muslim entrepreneurs is an alarming issue that should be taken into consideration by the government and society. Many experts in entrepreneurship and business have also voiced their concern about this issue. They believe that the low number of Muslim entrepreneurs indicates an inability of the Muslim community to maximize their potential as entrepreneurs in Indonesia. The gap between the number of Muslim entrepreneurs and non-Muslim entrepreneurs is also quite significant, with the number of non-Muslim entrepreneurs reaching 60 percent. This shows that Muslims are still lagging behind in entrepreneurship, and therefore, unable to be the driving force in the country's economy. One of the factors that contribute to this issue is the lack of entrepreneurship education among the Muslim community. The education system in Indonesia does not prioritise entrepreneurship education, which leads to the low number of Muslim entrepreneurs. The majority of the Muslim community also still see entrepreneurship as something risky and uncertain. Another contributing factor is the limited access to financial capital. Many Muslims do not have sufficient access to capital to start their own businesses, making it hard to become an entrepreneur. Moreover, many Islamic banks and financial institutions still have a strict regulation for providing financial support. To tackle this issue, Indonesia's government and society should provide a more comprehensive entrepreneurship education to the Muslim community. Meanwhile, Islamic banks and financial institutions should loosen their regulations for providing financial support to Muslim entrepreneurs. Furthermore, Indonesian Muslims should also change their mindset toward entrepreneurship, seeing it as a potential opportunity instead of a risky venture. Efforts to encourage the development of entrepreneurship culture among the Muslim community should also be supported by the government and society. In conclusion, the low number of Muslim entrepreneurs compared to the total Muslim population in Indonesia is an issue that should be tackled immediately. The government and society should provide support to the Muslim community to develop a culture of entrepreneurship and increase their access to capital. By doing so, the Muslim community can help drive forward the country's economy and become excellent entrepreneurs."
news-1850-ai,1850,id_newspapers_2018,AI,FN (AI dikira manusia),sulit (semua model salah),0,0.0411,0,0.0241,0,0.2454,"Wakil Sekretaris Jenderal Partai Amanat Nasional (PAN) Saleh Partaonan Daulay mengatakan, Menteri Dalam Negeri (Mendagri) Tito Karnavian tidak bisa disalahkan j","Wakil Sekretaris Jenderal Partai Amanat Nasional (PAN) Saleh Partaonan Daulay mengatakan, Menteri Dalam Negeri (Mendagri) Tito Karnavian tidak bisa disalahkan jika melantik atau mengangkat beberapa polisi yang masih aktif dijadikan pejabat di daerah. Pernyataan Saleh ini merespon terkait dengan sejumlah kabar yang beredar bahwa ada beberapa oknum polisi yang masih aktif, namun diangkat sebagai kepala daerah di sejumlah daerah di Indonesia. ""Ya, Tito Karnavian kan bukan orang yang ceroboh. Jadi, kalau kemudian sekarang diangkat-angkat oleh daerah, ya mungkin ya, namanya dalam ranah kebijakan masing-masing daerah. Tapi kami prihatin, sekali lagi, polisi aktif, kan kan tidak boleh juga,"" kata Saleh pada Kamis (02/05). Saleh mengatakan, sudah seharusnya mereka yang duduk di posisi strategis seperti kepala daerah untuk bekerja penuh fokus tanpa ada beban lain. Namun, jika ada seorang polisi aktif dilantik menjadi kepala daerah, tentu akan timbul pertanyaan seperti apa fokusnya dia bekerja. ""Dulu Pak Tjahjo bilang takkan angkat polisi aktif. Tapi karena ketidakdisiplinan, mungkin kebijakan dipaksa-paksakan,"" kata Saleh. Terkait disiplin anggota polisi, Saleh mengungkapkan bahwa dalam Rapat Kerja Nasional (Rakernas) PAN tahun ini, bertemu dengan Kepala Kepolisian Republik Indonesia (Kapolri) Jenderal Polisi Tito Karnavian untuk membahas hal ini. ""Beliau menginginkan agar polisi yang masih aktiv di lingkungan Polri ya tetap konsen mengemban tugasnya sebagai polisi. Jangan sampai terkait dengan hal yang berupa politik praktis atau apapun itu,"" kata Saleh. Saleh menambahkan, hal ini juga harus disikapi oleh pihak kepolisian sendiri. Sebab, saat anggota kepolisian menjadi bupati atau wali kota, otomatis ada banyak tugas yang harus dijalankan. Namun, hal itu tidak bisa dilakukan oleh polisi yang masih aktif. PAN sendiri menyebut, akan terus memantau dan mengawasi kebijakan pemerintah. Salah satunya terkait masalah polisi aktif diangkat sebagai kepala daerah. ""PAN akan terus memantau, merespons dan mengimbangi,"" pungkasnya."
