row_index,doc_id,source_id,label_aktual,kombinasi,n_fitur,prediksi,probabilitas_AI,benar
0,0,0,0,tfidf+bert,2,0,0.12631193153507592,True
1,1,0,1,tfidf+bert,2,1,0.9691030682436786,True
2,2,1,0,tfidf+bert,2,0,0.004265036665420289,True
3,3,1,1,tfidf+bert,2,1,0.8590356916132683,True
4,4,2,0,tfidf+bert,2,0,0.027627738376237714,True
5,5,2,1,tfidf+bert,2,1,0.9382561634581517,True
6,6,3,0,tfidf+bert,2,0,0.06698043595403463,True
7,7,3,1,tfidf+bert,2,1,0.9953558048522805,True
8,8,4,0,tfidf+bert,2,0,0.027533080327510454,True
9,9,4,1,tfidf+bert,2,1,0.9872867715822065,True
10,10,5,0,tfidf+bert,2,0,0.029118503880007852,True
11,11,5,1,tfidf+bert,2,1,0.9111615074395046,True
12,12,6,0,tfidf+bert,2,0,0.001560205886334198,True
13,13,6,1,tfidf+bert,2,1,0.9023791383910581,True
14,14,7,0,tfidf+bert,2,0,0.0031215271367300394,True
15,15,7,1,tfidf+bert,2,1,0.9785465435920057,True
16,16,8,0,tfidf+bert,2,0,0.030880609450639834,True
17,17,8,1,tfidf+bert,2,1,0.9831038763160129,True
18,18,9,0,tfidf+bert,2,1,0.6685478375117677,False
19,19,9,1,tfidf+bert,2,1,0.9719926344383746,True
20,20,10,0,tfidf+bert,2,0,0.06787986784424209,True
21,21,10,1,tfidf+bert,2,1,0.9839537259557676,True
22,22,11,0,tfidf+bert,2,0,0.023719978372093727,True
23,23,11,1,tfidf+bert,2,1,0.6395112134076315,True
24,24,12,0,tfidf+bert,2,0,0.20598653020446808,True
25,25,12,1,tfidf+bert,2,1,0.9896380565397496,True
26,26,13,0,tfidf+bert,2,0,0.41777872824842455,True
27,27,13,1,tfidf+bert,2,1,0.8366490447082117,True
28,28,14,0,tfidf+bert,2,0,0.01845473727791004,True
29,29,14,1,tfidf+bert,2,1,0.9814741454935468,True
30,30,15,0,tfidf+bert,2,0,0.10955077973975681,True
31,31,15,1,tfidf+bert,2,1,0.9948492134514192,True
32,32,16,0,tfidf+bert,2,0,0.3116803044377298,True
33,33,16,1,tfidf+bert,2,1,0.9568379715159977,True
34,34,17,0,tfidf+bert,2,0,0.01648338200057119,True
35,35,17,1,tfidf+bert,2,1,0.9993866890309991,True
36,36,18,0,tfidf+bert,2,0,0.06255932371825655,True
37,37,18,1,tfidf+bert,2,1,0.9699972192163742,True
38,38,19,0,tfidf+bert,2,0,0.14855652459252108,True
39,39,19,1,tfidf+bert,2,1,0.9986128069537208,True
40,40,20,0,tfidf+bert,2,0,0.015223220289440493,True
41,41,20,1,tfidf+bert,2,1,0.8932865578163102,True
42,42,21,0,tfidf+bert,2,0,0.2595052207449824,True
43,43,21,1,tfidf+bert,2,1,0.8385836311244368,True
44,44,22,0,tfidf+bert,2,0,0.1932001733543098,True
45,45,22,1,tfidf+bert,2,1,0.9643929011784964,True
46,46,23,0,tfidf+bert,2,0,0.00014611632269864402,True
47,47,23,1,tfidf+bert,2,1,0.9977630932544191,True
48,48,24,0,tfidf+bert,2,0,0.2496167481420514,True
49,49,24,1,tfidf+bert,2,1,0.881558238357784,True
50,50,25,0,tfidf+bert,2,0,0.0588015741103654,True
51,51,25,1,tfidf+bert,2,1,0.9903331235012501,True
52,52,26,0,tfidf+bert,2,0,0.45120723600575485,True
53,53,26,1,tfidf+bert,2,1,0.989011322497392,True
54,54,27,0,tfidf+bert,2,0,0.01905924524921536,True
55,55,27,1,tfidf+bert,2,1,0.9209269333882534,True
