row_index,doc_id,source_id,label_aktual,kombinasi,n_fitur,prediksi,probabilitas_AI,benar
0,0,0,0,bert+perp,2,0,0.023770507028915155,True
1,1,0,1,bert+perp,2,1,0.9980329738568724,True
2,2,1,0,bert+perp,2,0,0.0018081548198613884,True
3,3,1,1,bert+perp,2,1,0.9967565771478525,True
4,4,2,0,bert+perp,2,0,0.012090757221644906,True
5,5,2,1,bert+perp,2,1,0.9223657212180025,True
6,6,3,0,bert+perp,2,0,0.003689165796909981,True
7,7,3,1,bert+perp,2,1,0.9998220818804411,True
8,8,4,0,bert+perp,2,0,0.0008349790104281028,True
9,9,4,1,bert+perp,2,1,0.9987659844600421,True
10,10,5,0,bert+perp,2,0,0.001787517751062661,True
11,11,5,1,bert+perp,2,1,0.98943311032937,True
12,12,6,0,bert+perp,2,0,0.000127530869154423,True
13,13,6,1,bert+perp,2,1,0.9950497766432531,True
14,14,7,0,bert+perp,2,0,0.0006799487274097751,True
15,15,7,1,bert+perp,2,1,0.9913520461141999,True
16,16,8,0,bert+perp,2,0,0.001930531780484011,True
17,17,8,1,bert+perp,2,1,0.9996804840716899,True
18,18,9,0,bert+perp,2,1,0.6501907020741055,False
19,19,9,1,bert+perp,2,1,0.9995576376898068,True
20,20,10,0,bert+perp,2,0,0.00802729701031334,True
21,21,10,1,bert+perp,2,1,0.9988517713236046,True
22,22,11,0,bert+perp,2,0,0.003335293580548461,True
23,23,11,1,bert+perp,2,1,0.9922254295493866,True
24,24,12,0,bert+perp,2,0,0.030231371122901647,True
25,25,12,1,bert+perp,2,1,0.9891290968141375,True
26,26,13,0,bert+perp,2,0,0.013907122090998189,True
27,27,13,1,bert+perp,2,1,0.9940638546905705,True
28,28,14,0,bert+perp,2,0,0.0011779773041770908,True
29,29,14,1,bert+perp,2,1,0.999748602475507,True
30,30,15,0,bert+perp,2,0,0.023316101690676945,True
31,31,15,1,bert+perp,2,1,0.9992107149173914,True
32,32,16,0,bert+perp,2,0,0.02614483555091522,True
33,33,16,1,bert+perp,2,1,0.9974792372891753,True
34,34,17,0,bert+perp,2,0,0.0008799886080501585,True
35,35,17,1,bert+perp,2,1,0.9996964543714568,True
36,36,18,0,bert+perp,2,0,0.002143767812692046,True
37,37,18,1,bert+perp,2,1,0.9995978537102792,True
38,38,19,0,bert+perp,2,0,0.029466494872856998,True
39,39,19,1,bert+perp,2,1,0.9899157186828105,True
40,40,20,0,bert+perp,2,0,0.0006941109115837872,True
41,41,20,1,bert+perp,2,1,0.9864589932671843,True
42,42,21,0,bert+perp,2,0,0.007615932216706115,True
43,43,21,1,bert+perp,2,1,0.6639919160879467,True
44,44,22,0,bert+perp,2,0,0.016719400807232245,True
45,45,22,1,bert+perp,2,1,0.9976986413255355,True
46,46,23,0,bert+perp,2,0,0.0003022498324862672,True
47,47,23,1,bert+perp,2,1,0.9984985870489015,True
48,48,24,0,bert+perp,2,0,0.043232620580363305,True
49,49,24,1,bert+perp,2,1,0.9754660976411929,True
