row_index,doc_id,source_id,label_aktual,kombinasi,n_fitur,prediksi,probabilitas_AI,benar
0,0,0,0,sty+tfidf+bert,3,0,0.4058805975105917,True
1,1,0,1,sty+tfidf+bert,3,1,0.9953915281345,True
2,2,1,0,sty+tfidf+bert,3,0,0.0021567378360615387,True
3,3,1,1,sty+tfidf+bert,3,1,0.9899719332519402,True
4,4,2,0,sty+tfidf+bert,3,0,0.005582105813148672,True
5,5,2,1,sty+tfidf+bert,3,1,0.9970264960640066,True
6,6,3,0,sty+tfidf+bert,3,0,0.04062249759414985,True
7,7,3,1,sty+tfidf+bert,3,1,0.9975310742052514,True
8,8,4,0,sty+tfidf+bert,3,0,0.003807957948018558,True
9,9,4,1,sty+tfidf+bert,3,1,0.9966245122001447,True
10,10,5,0,sty+tfidf+bert,3,0,0.005906264636253127,True
11,11,5,1,sty+tfidf+bert,3,1,0.9761479348853442,True
12,12,6,0,sty+tfidf+bert,3,0,0.004675689327678973,True
13,13,6,1,sty+tfidf+bert,3,1,0.9928470499273997,True
14,14,7,0,sty+tfidf+bert,3,0,0.008145826994478425,True
15,15,7,1,sty+tfidf+bert,3,1,0.99270080603137,True
16,16,8,0,sty+tfidf+bert,3,0,0.004148554724404758,True
17,17,8,1,sty+tfidf+bert,3,1,0.998217695030816,True
18,18,9,0,sty+tfidf+bert,3,0,0.05869033880043918,True
19,19,9,1,sty+tfidf+bert,3,1,0.9720406859213478,True
20,20,10,0,sty+tfidf+bert,3,0,0.2573869500191281,True
21,21,10,1,sty+tfidf+bert,3,1,0.9908418120715735,True
22,22,11,0,sty+tfidf+bert,3,0,0.010086239420351042,True
23,23,11,1,sty+tfidf+bert,3,1,0.9587884140018355,True
24,24,12,0,sty+tfidf+bert,3,0,0.004271355488800922,True
25,25,12,1,sty+tfidf+bert,3,1,0.9940668926535626,True
26,26,13,0,sty+tfidf+bert,3,0,0.011203051208802283,True
27,27,13,1,sty+tfidf+bert,3,1,0.9864463532868414,True
28,28,14,0,sty+tfidf+bert,3,0,0.0011254616227276994,True
29,29,14,1,sty+tfidf+bert,3,1,0.9869282484701166,True
30,30,15,0,sty+tfidf+bert,3,0,0.017420300416125745,True
31,31,15,1,sty+tfidf+bert,3,1,0.9997780279029973,True
32,32,16,0,sty+tfidf+bert,3,0,0.10285635957574615,True
33,33,16,1,sty+tfidf+bert,3,1,0.9882064301228505,True
34,34,17,0,sty+tfidf+bert,3,0,0.015677281662590057,True
35,35,17,1,sty+tfidf+bert,3,1,0.9998255727391178,True
36,36,18,0,sty+tfidf+bert,3,0,0.10307693117992572,True
37,37,18,1,sty+tfidf+bert,3,1,0.9953656580275971,True
38,38,19,0,sty+tfidf+bert,3,0,0.14442531098611908,True
39,39,19,1,sty+tfidf+bert,3,1,0.9995093687174457,True
40,40,20,0,sty+tfidf+bert,3,0,0.0009093521185411251,True
41,41,20,1,sty+tfidf+bert,3,1,0.9745250447852088,True
42,42,21,0,sty+tfidf+bert,3,0,0.03973867520516202,True
43,43,21,1,sty+tfidf+bert,3,1,0.8139598903027004,True
44,44,22,0,sty+tfidf+bert,3,0,0.40536763170102835,True
45,45,22,1,sty+tfidf+bert,3,1,0.9943184571244482,True
46,46,23,0,sty+tfidf+bert,3,0,7.798270026644407e-05,True
47,47,23,1,sty+tfidf+bert,3,1,0.9984400834727463,True
48,48,24,0,sty+tfidf+bert,3,0,0.1966554625440239,True
49,49,24,1,sty+tfidf+bert,3,1,0.8315849482838272,True
50,50,25,0,sty+tfidf+bert,3,0,0.11911087555111122,True
51,51,25,1,sty+tfidf+bert,3,1,0.9954371704845842,True
52,52,26,0,sty+tfidf+bert,3,0,0.2185439972090387,True
